Jakarta Utara,Rumah Sunter Paradise 2 Rumah Sunter Minimalis Rumah Minimalis Sunter Rumah Sunter Paradise Rumah Sts Rumah Garden Rumah Agung Permai,"Rp 7,2 MiliarRp 7.5 MTurun Rp 300 Jutaan","Sunter, Jakarta Utara",4,4,2 + 2,LT:  190 m²,LB:  522 m²
Jakarta Utara,Promo Free PPN - Rumah 8X20 Golf Island Brand New bisa KPR - Segera Terjual!,"Rp 5,4 Miliar","Golf Island, Jakarta Utara",3 + 1,3 + 1,2,LT:  160 m²,LB:  174 m²
Jakarta Utara,"Jual Cepat, Rumah Minimalis Semi Furnish Bebas Banjir di Sunter Agung, Nego","Rp 4,45 Miliar","Sunter, Jakarta Utara",5 + 1,5 + 1,2,LT:  119 m²,LB:  252 m²
Jakarta Utara,Direct Jogging Track. Backyard Area. Struktur Rumah Terjaga dengan Baik. Langka. Jarang Ada. Ada Halaman Depan. Rumah Sangat2 Asri. Row Jalan Sangat2 Lebar. Hadap Tidak Tepat Selatan Lebih ke Arah Tenggara. Fully Furnish,Rp 29 Miliar,"Pantai Indah Kapuk, Jakarta Utara",4,5,2 + 4,LT:  525 m²,LB:  440 m²
Jakarta Pusat,For Sale House Dalam Bentuk Kost Kostan dan Terisi Rumah bisa untuk Kantor atau Tempat Tinggal atau Multifungsi atau Klinik Area Premium Menteng Jakarta Pusat,Rp 55 Miliar,"Menteng, Jakarta Pusat",6,6,5,LT:  629 m²,LB:  700 m²
Jakarta Pusat,"Jual Cepat, Rumah Luxury 2Lantai Siap Huni di Menteng",Rp 20 Miliar,"Menteng, Jakarta Pusat",8 + 1,8 + 1,3 + 2,LT:  537 m²,LB:  1100 m²
Jakarta Pusat,Dijual Rumah Springhill Kemayoran Siap Huni Furnished,"Rp 6,9 Miliar","Kemayoran, Jakarta Pusat",5,4,1 + 3,LT:  153 m²,LB:  525 m²
Jakarta Pusat,Hunian Premium Luas Harga Terjangkau Dijual Kondisi Baru dengan 3 Lantai,"Rp 6,5 Miliar","Menteng, Jakarta Pusat",5,5,2 + 2,LT:  120 m²,LB:  223 m²
Jakarta Pusat,Rumah Cantik Lokasi Strategis di Percetakan Negara Jakarta Pusat,"Rp 1,07 Miliar","Percetakan Negara, Jakarta Pusat",2,2,1,LT:  31 m²,LB:  59 m²
Jakarta Pusat,"Compound Unit Mewah Siap Huni di Menteng Jakarta Pusat Rumah Bagus SHM di Jl. H.o.s. Cokroaminoto No 6, Gondangdia, Menteng, Kota Jakarta Pusat, Dki Jakarta, Indonesia, 10350, Menteng","Rp 54,5 MiliarRp 57.5 MTurun Rp 3 Miliaran","Menteng, Jakarta Pusat",10,10,4 + 2,LT:  629 m²,LB:  505 m²
